序号,子集,掉落种类,物品id,说明,最小数量,最大数量,权重,备注
44,50000009,升阶,11019,英雄高级升阶材料，最大可升到20阶,1,2,7500,
45,50000009,升阶,11020,英雄高级升阶材料，最大可升到20阶,1,2,4500,
46,50000010,升阶,11003,凝聚了人类战士英雄的灵魂4,1,2,7500,
47,50000010,升阶,11021,英雄终级升阶材料，最大可升到25阶,1,2,10500,
48,50000010,升阶,11022,英雄终级升阶材料，最大可升到25阶,1,2,7500,
49,50000010,升阶,11023,英雄终级升阶材料，最大可升到25阶,1,2,4500,
50,50000011,升阶,11007,凝聚了精灵法师英雄的灵魂4,1,2,7500,
51,50000011,升阶,11021,英雄终级升阶材料，最大可升到25阶,1,2,10500,
52,50000011,升阶,11022,英雄终级升阶材料，最大可升到25阶,1,2,7500,
53,50000011,升阶,11023,英雄终级升阶材料，最大可升到25阶,1,2,4500,
54,50000012,升阶,11011,凝聚了亡灵盗贼英雄的灵魂4,1,2,7500,
55,50000012,升阶,11021,英雄终级升阶材料，最大可升到25阶,1,2,10500,
56,50000012,升阶,11022,英雄终级升阶材料，最大可升到25阶,1,2,7500,
57,50000012,升阶,11023,英雄终级升阶材料，最大可升到25阶,1,2,4500,
58,51000001,强化,12000,强化武器的初级材料1,1,1,10000,
59,51000001,强化,12001,强化武器的初级材料2,1,1,10000,
60,51000002,强化,12006,强化防具的初级材料1,1,1,10000,
61,51000002,强化,12007,强化防具的初级材料2,1,1,10000,
62,51000003,强化,12012,强化首饰的初级材料1,1,1,10000,
63,51000003,强化,12013,强化首饰的初级材料2,1,1,10000,
64,51000004,强化,12002,强化武器的中级材料1,1,1,10000,
65,51000004,强化,12003,强化武器的中级材料2,1,1,10000,
66,51000005,强化,12007,强化防具的初级材料2,1,1,10000,
67,51000005,强化,12008,强化防具的中级材料1,1,1,10000,
68,51000006,强化,12014,强化首饰的中级材料1,1,1,10000,
69,51000006,强化,12015,强化首饰的中级材料2,1,1,10000,
70,51000007,强化,12004,强化武器的高级材料1,1,1,10000,
71,51000007,强化,12005,强化武器的高级材料2,1,1,10000,
72,51000008,强化,12010,强化防具的高级材料1,1,1,10000,
73,51000008,强化,12011,强化防具的高级材料2,1,1,10000,
74,51000009,强化,12016,强化首饰的高级材料1,1,1,10000,
75,51000009,强化,12017,强化首饰的高级材料2,1,1,10000,
76,51000010,强化,12000,强化武器的初级材料1,1,3,10000,
77,51000010,强化,12001,强化武器的初级材料2,1,3,10000,
78,51000010,强化,12006,强化防具的初级材料1,1,3,30000,
79,51000010,强化,12007,强化防具的初级材料2,1,3,30000,
80,51000010,强化,12012,强化首饰的初级材料1,1,3,10000,
81,51000010,强化,12013,强化首饰的初级材料2,1,3,10000,
82,51000011,强化,12002,强化武器的中级材料1,1,3,10000,
83,51000011,强化,12003,强化武器的中级材料2,1,3,10000,
84,51000011,强化,12007,强化防具的初级材料2,1,3,30000,
85,51000011,强化,12008,强化防具的中级材料1,1,3,30000,
86,51000011,强化,12014,强化首饰的中级材料1,1,3,10000,
87,51000011,强化,12015,强化首饰的中级材料2,1,3,10000,
88,51000012,强化,12004,强化武器的高级材料1,1,3,10000,
89,51000012,强化,12005,强化武器的高级材料2,1,3,10000,
90,51000012,强化,12010,强化防具的高级材料1,1,3,30000,
91,51000012,强化,12011,强化防具的高级材料2,1,3,30000,
92,51000012,强化,12016,强化首饰的高级材料1,1,3,10000,
93,51000012,强化,12017,强化首饰的高级材料2,1,3,10000,
94,52000001,制作,13000,制作武器的初级材料1,1,1,10000,
95,52000001,制作,13001,制作武器的初级材料2,1,1,10000,
96,52000002,制作,13006,制作防具的初级材料1,1,1,10000,
97,52000002,制作,13007,制作防具的初级材料2,1,1,10000,
98,52000003,制作,13012,制作首饰的初级材料1,1,1,10000,
99,52000003,制作,13013,制作首饰的初级材料2,1,1,10000,
100,52000004,制作,13002,制作武器的中级材料1,1,1,10000,
101,52000004,制作,13003,制作武器的中级材料2,1,1,10000,
102,52000005,制作,13007,制作防具的初级材料2,1,1,10000,
103,52000005,制作,13008,制作防具的中级材料1,1,1,10000,
104,52000006,制作,13014,制作首饰的中级材料1,1,1,10000,
105,52000006,制作,13015,制作首饰的中级材料2,1,1,10000,
106,52000007,制作,13004,制作武器的高级材料1,1,1,10000,
107,52000007,制作,13005,制作武器的高级材料2,1,1,10000,
108,52000008,制作,13010,制作防具的高级材料1,1,1,10000,
109,52000008,制作,13011,制作防具的高级材料2,1,1,10000,
110,52000009,制作,13016,制作首饰的高级材料1,1,1,10000,
111,52000009,制作,13017,制作首饰的高级材料2,1,1,10000,
112,52000010,制作,13000,制作武器的初级材料1,1,2,16660,
113,52000010,制作,13001,制作武器的初级材料2,1,2,16660,
114,52000010,制作,13006,制作防具的初级材料1,1,2,16660,
115,52000010,制作,13007,制作防具的初级材料2,1,2,16660,
116,52000010,制作,13012,制作首饰的初级材料1,1,2,16660,
117,52000010,制作,13013,制作首饰的初级材料2,1,2,16700,
118,52000011,制作,13002,制作武器的中级材料1,1,2,16660,
119,52000011,制作,13003,制作武器的中级材料2,1,2,16660,
120,52000011,制作,13007,制作防具的初级材料2,1,2,16660,
121,52000011,制作,13008,制作防具的中级材料1,1,2,16660,
122,52000011,制作,13014,制作首饰的中级材料1,1,2,16660,
123,52000011,制作,13015,制作首饰的中级材料2,1,2,16700,
124,52000012,制作,13004,制作武器的高级材料1,1,2,16660,
125,52000012,制作,13005,制作武器的高级材料2,1,2,16660,
126,52000012,制作,13010,制作防具的高级材料1,1,2,16660,
127,52000012,制作,13011,制作防具的高级材料2,1,2,16660,
128,52000012,制作,13016,制作首饰的高级材料1,1,2,16660,
129,52000012,制作,13017,制作首饰的高级材料2,1,2,16700,
130,53000001,符文,20000,1级杀戮符文,1,1,3000,
131,53000001,符文,20001,1级英勇符文,1,1,3000,
132,53000001,符文,20002,1级盾墙符文,1,1,3000,
133,53000001,符文,20003,1级铁壁符文,1,1,3000,
134,53000001,符文,20004,1级强壮符文,1,1,3000,
135,53000001,符文,20005,1级精力符文,1,1,3000,
136,53000001,符文,20006,1级贪婪符文,1,1,3000,
137,53000001,符文,20007,1级幸运符文,1,1,3000,
138,53000001,符文,20008,1级寒冷符文,1,1,3000,
139,53000001,符文,20009,1级炙热符文,1,1,3000,
140,53000001,符文,20010,1级剧毒符文,1,1,3000,
141,53000001,符文,20011,1级光明符文,1,1,3000,
142,53000001,符文,20012,1级黑暗符文,1,1,3000,
143,53000002,符文,20013,2级杀戮符文,1,1,3000,
144,53000002,符文,20014,2级英勇符文,1,1,3000,
145,53000002,符文,20015,2级盾墙符文,1,1,3000,
146,53000002,符文,20016,2级铁壁符文,1,1,3000,
147,53000002,符文,20017,2级强壮符文,1,1,3000,
148,53000002,符文,20018,2级精力符文,1,1,3000,
149,53000002,符文,20019,2级贪婪符文,1,1,3000,
150,53000002,符文,20020,2级幸运符文,1,1,3000,
151,53000002,符文,20021,2级寒冷符文,1,1,3000,
152,53000002,符文,20022,2级炙热符文,1,1,3000,
153,53000002,符文,20023,2级剧毒符文,1,1,3000,
154,53000002,符文,20024,2级光明符文,1,1,3000,
155,53000002,符文,20025,2级黑暗符文,1,1,3000,
156,53000003,符文,20026,3级杀戮符文,1,1,3000,
157,53000003,符文,20027,3级英勇符文,1,1,3000,
158,53000003,符文,20028,3级盾墙符文,1,1,3000,
159,53000003,符文,20029,3级铁壁符文,1,1,3000,
160,53000003,符文,20030,3级强壮符文,1,1,3000,
161,53000003,符文,20031,3级精力符文,1,1,3000,
162,53000003,符文,20032,3级贪婪符文,1,1,3000,
163,53000003,符文,20033,3级幸运符文,1,1,3000,
164,53000003,符文,20034,3级寒冷符文,1,1,3000,
165,53000003,符文,20035,3级炙热符文,1,1,3000,
166,53000003,符文,20036,3级剧毒符文,1,1,3000,
167,53000003,符文,20037,3级光明符文,1,1,3000,
168,53000003,符文,20038,3级黑暗符文,1,1,3000,
169,53000004,符文,20039,4级杀戮符文,1,1,3000,
170,53000004,符文,20040,4级英勇符文,1,1,3000,
171,53000004,符文,20041,4级盾墙符文,1,1,3000,
172,53000004,符文,20042,4级铁壁符文,1,1,3000,
173,53000004,符文,20043,4级强壮符文,1,1,3000,
174,53000004,符文,20044,4级精力符文,1,1,3000,
175,53000004,符文,20045,4级贪婪符文,1,1,3000,
176,53000004,符文,20046,4级幸运符文,1,1,3000,
177,53000004,符文,20047,4级寒冷符文,1,1,3000,
178,53000004,符文,20048,4级炙热符文,1,1,3000,
179,53000004,符文,20049,4级剧毒符文,1,1,3000,
180,53000004,符文,20050,4级光明符文,1,1,3000,
181,53000004,符文,20051,4级黑暗符文,1,1,3000,
182,54000001,消耗品,30002,微弱生命恢复药剂,1,1,30000,
183,54000002,消耗品,30003,小型生命恢复药剂,1,1,30000,
184,54000003,消耗品,30004,中型生命恢复药剂,1,1,35000,
185,54000004,消耗品,30005,大型生命恢复药剂,1,1,35000,
186,54000005,消耗品,30006,超大型生命恢复药剂,1,3,25000,
187,54000006,消耗品,30007,祝福生命恢复药剂,1,3,25000,
188,54000007,消耗品,30008,大师生命恢复药剂,1,3,20000,
189,54000008,消耗品,30003,小型生命恢复药剂,1,1,50000,
190,54000008,消耗品,30016,微弱能量恢复药剂,1,1,20000,
191,54000008,道具制作,14000,魔法羊皮,1,1,2730,
192,54000008,道具制作,14001,橡树硬皮,1,1,2727,
193,54000008,道具制作,14002,鲜红树果,1,1,2727,
194,54000008,道具制作,14003,能量源石,1,1,2727,
195,54000008,道具制作,14004,六棱冰晶,1,1,2727,
196,54000008,道具制作,14005,微热的蘑菇,1,1,2727,
197,54000008,道具制作,14006,空气结晶,1,1,2727,
198,54000008,道具制作,14007,烈焰草,1,1,2727,
199,54000008,道具制作,14008,剧毒粘液,1,1,2727,
200,54000008,道具制作,14009,驱魔粉末,1,1,2727,
201,54000008,道具制作,14010,毒蝎断尾,1,1,2727,
202,54000009,消耗品,30003,小型生命恢复药剂,1,2,33334,
203,54000009,消耗品,30004,中型生命恢复药剂,1,1,16666,
204,54000009,消耗品,30016,微弱能量恢复药剂,2,3,20000,
205,54000009,道具制作,14000,魔法羊皮,1,1,2730,
206,54000009,道具制作,14001,橡树硬皮,1,1,2727,
207,54000009,道具制作,14002,鲜红树果,1,1,2727,
208,54000009,道具制作,14003,能量源石,1,1,2727,
209,54000009,道具制作,14004,六棱冰晶,1,1,2727,
210,54000009,道具制作,14005,微热的蘑菇,1,1,2727,
211,54000009,道具制作,14006,空气结晶,1,1,2727,
212,54000009,道具制作,14007,烈焰草,1,1,2727,
213,54000009,道具制作,14008,剧毒粘液,1,1,2727,
214,54000009,道具制作,14009,驱魔粉末,1,1,2727,
215,54000009,道具制作,14010,毒蝎断尾,1,1,2727,
216,54000010,消耗品,30004,中型生命恢复药剂,1,1,50000,
217,54000010,消耗品,30016,微弱能量恢复药剂,2,3,20000,
218,54000010,道具制作,14000,魔法羊皮,1,1,2730,
219,54000010,道具制作,14001,橡树硬皮,1,1,2727,
220,54000010,道具制作,14002,鲜红树果,1,1,2727,
221,54000010,道具制作,14003,能量源石,1,1,2727,
222,54000010,道具制作,14004,六棱冰晶,1,1,2727,
223,54000010,道具制作,14005,微热的蘑菇,1,1,2727,
224,54000010,道具制作,14006,空气结晶,1,1,2727,
225,54000010,道具制作,14007,烈焰草,1,1,2727,
226,54000010,道具制作,14008,剧毒粘液,1,1,2727,
227,54000010,道具制作,14009,驱魔粉末,1,1,2727,
228,54000010,道具制作,14010,毒蝎断尾,1,1,2727,
229,54000011,消耗品,30003,小型生命恢复药剂,1,2,33334,
230,54000011,消耗品,30004,中型生命恢复药剂,1,1,16666,
231,54000011,消耗品,30016,微弱能量恢复药剂,2,3,20000,
232,54000011,道具制作,14000,魔法羊皮,1,1,2730,
233,54000011,道具制作,14001,橡树硬皮,1,1,2727,
234,54000011,道具制作,14002,鲜红树果,1,1,2727,
235,54000011,道具制作,14003,能量源石,1,1,2727,
236,54000011,道具制作,14004,六棱冰晶,1,1,2727,
237,54000011,道具制作,14005,微热的蘑菇,1,1,2727,
238,54000011,道具制作,14006,空气结晶,1,1,2727,
239,54000011,道具制作,14007,烈焰草,1,1,2727,
240,54000011,道具制作,14008,剧毒粘液,1,1,2727,
241,54000011,道具制作,14009,驱魔粉末,1,1,2727,
242,54000011,道具制作,14010,毒蝎断尾,1,1,2727,
243,54000012,消耗品,30005,大型生命恢复药剂,1,1,50000,
244,54000012,消耗品,30016,微弱能量恢复药剂,2,3,20000,
245,54000012,道具制作,14000,魔法羊皮,1,1,2730,
246,54000012,道具制作,14001,橡树硬皮,1,1,2727,
247,54000012,道具制作,14002,鲜红树果,1,1,2727,
248,54000012,道具制作,14003,能量源石,1,1,2727,
249,54000012,道具制作,14004,六棱冰晶,1,1,2727,
250,54000012,道具制作,14005,微热的蘑菇,1,1,2727,
251,54000012,道具制作,14006,空气结晶,1,1,2727,
252,54000012,道具制作,14007,烈焰草,1,1,2727,
253,54000012,道具制作,14008,剧毒粘液,1,1,2727,
254,54000012,道具制作,14009,驱魔粉末,1,1,2727,
255,54000012,道具制作,14010,毒蝎断尾,1,1,2727,
256,54000013,消耗品,30005,大型生命恢复药剂,1,2,25000,
257,54000013,消耗品,30006,超大型生命恢复药剂,1,2,25000,
258,54000013,消耗品,30016,微弱能量恢复药剂,2,4,20000,
259,54000013,道具制作,14000,魔法羊皮,1,1,2730,
260,54000013,道具制作,14001,橡树硬皮,1,1,2727,
261,54000013,道具制作,14002,鲜红树果,1,1,2727,
262,54000013,道具制作,14003,能量源石,1,1,2727,
263,54000013,道具制作,14004,六棱冰晶,1,1,2727,
264,54000013,道具制作,14005,微热的蘑菇,1,1,2727,
265,54000013,道具制作,14006,空气结晶,1,1,2727,
266,54000013,道具制作,14007,烈焰草,1,1,2727,
267,54000013,道具制作,14008,剧毒粘液,1,1,2727,
268,54000013,道具制作,14009,驱魔粉末,1,1,2727,
269,54000013,道具制作,14010,毒蝎断尾,1,1,2727,
270,54000014,消耗品,30006,超大型生命恢复药剂,1,2,50000,
271,54000014,消耗品,30016,微弱能量恢复药剂,2,4,20000,
272,54000014,道具制作,14000,魔法羊皮,1,1,2730,
273,54000014,道具制作,14001,橡树硬皮,1,1,2727,
274,54000014,道具制作,14002,鲜红树果,1,1,2727,
275,54000014,道具制作,14003,能量源石,1,1,2727,
276,54000014,道具制作,14004,六棱冰晶,1,1,2727,
277,54000014,道具制作,14005,微热的蘑菇,1,1,2727,
278,54000014,道具制作,14006,空气结晶,1,1,2727,
279,54000014,道具制作,14007,烈焰草,1,1,2727,
280,54000014,道具制作,14008,剧毒粘液,1,1,2727,
281,54000014,道具制作,14009,驱魔粉末,1,1,2727,
282,54000014,道具制作,14010,毒蝎断尾,1,1,2727,
283,54000015,消耗品,30006,超大型生命恢复药剂,1,2,25000,
284,54000015,消耗品,30007,祝福生命恢复药剂,1,2,25000,
285,54000015,消耗品,30016,微弱能量恢复药剂,2,4,20000,
286,54000015,道具制作,14000,魔法羊皮,1,1,2730,
287,54000015,道具制作,14001,橡树硬皮,1,1,2727,
288,54000015,道具制作,14002,鲜红树果,1,1,2727,
289,54000015,道具制作,14003,能量源石,1,1,2727,
290,54000015,道具制作,14004,六棱冰晶,1,1,2727,
291,54000015,道具制作,14005,微热的蘑菇,1,1,2727,
292,54000015,道具制作,14006,空气结晶,1,1,2727,
293,54000015,道具制作,14007,烈焰草,1,1,2727,
294,54000015,道具制作,14008,剧毒粘液,1,1,2727,
295,54000015,道具制作,14009,驱魔粉末,1,1,2727,
296,54000015,道具制作,14010,毒蝎断尾,1,1,2727,
297,54000016,消耗品,30006,超大型生命恢复药剂,1,3,37500,
298,54000016,消耗品,30007,祝福生命恢复药剂,1,2,12500,
299,54000016,消耗品,30016,微弱能量恢复药剂,2,4,20000,
300,54000016,道具制作,14000,魔法羊皮,1,1,2730,
301,54000016,道具制作,14001,橡树硬皮,1,1,2727,
302,54000016,道具制作,14002,鲜红树果,1,1,2727,
303,54000016,道具制作,14003,能量源石,1,1,2727,
304,54000016,道具制作,14004,六棱冰晶,1,1,2727,
305,54000016,道具制作,14005,微热的蘑菇,1,1,2727,
306,54000016,道具制作,14006,空气结晶,1,1,2727,
307,54000016,道具制作,14007,烈焰草,1,1,2727,
308,54000016,道具制作,14008,剧毒粘液,1,1,2727,
309,54000016,道具制作,14009,驱魔粉末,1,1,2727,
310,54000016,道具制作,14010,毒蝎断尾,1,1,2727,
311,54000017,消耗品,30007,祝福生命恢复药剂,2,3,50000,
312,54000017,消耗品,30016,微弱能量恢复药剂,2,4,20000,
313,54000017,道具制作,14000,魔法羊皮,1,1,2730,
314,54000017,道具制作,14001,橡树硬皮,1,1,2727,
315,54000017,道具制作,14002,鲜红树果,1,1,2727,
316,54000017,道具制作,14003,能量源石,1,1,2727,
317,54000017,道具制作,14004,六棱冰晶,1,1,2727,
318,54000017,道具制作,14005,微热的蘑菇,1,1,2727,
319,54000017,道具制作,14006,空气结晶,1,1,2727,
320,54000017,道具制作,14007,烈焰草,1,1,2727,
321,54000017,道具制作,14008,剧毒粘液,1,1,2727,
322,54000017,道具制作,14009,驱魔粉末,1,1,2727,
323,54000017,道具制作,14010,毒蝎断尾,1,1,2727,
324,54000018,消耗品,30007,祝福生命恢复药剂,2,4,25000,
325,54000018,消耗品,30008,大师生命恢复药剂,1,3,25000,
326,54000018,消耗品,30016,微弱能量恢复药剂,2,6,20000,
327,54000018,道具制作,14000,魔法羊皮,1,1,2730,
328,54000018,道具制作,14001,橡树硬皮,1,1,2727,
329,54000018,道具制作,14002,鲜红树果,1,1,2727,
330,54000018,道具制作,14003,能量源石,1,1,2727,
331,54000018,道具制作,14004,六棱冰晶,1,1,2727,
332,54000018,道具制作,14005,微热的蘑菇,1,1,2727,
333,54000018,道具制作,14006,空气结晶,1,1,2727,
334,54000018,道具制作,14007,烈焰草,1,1,2727,
335,54000018,道具制作,14008,剧毒粘液,1,1,2727,
336,54000018,道具制作,14009,驱魔粉末,1,1,2727,
337,54000018,道具制作,14010,毒蝎断尾,1,1,2727,
338,54000019,消耗品,30007,祝福生命恢复药剂,2,3,50000,
339,54000019,消耗品,30016,微弱能量恢复药剂,2,6,20000,
340,54000019,道具制作,14000,魔法羊皮,1,1,2730,
341,54000019,道具制作,14001,橡树硬皮,1,1,2727,
342,54000019,道具制作,14002,鲜红树果,1,1,2727,
343,54000019,道具制作,14003,能量源石,1,1,2727,
344,54000019,道具制作,14004,六棱冰晶,1,1,2727,
345,54000019,道具制作,14005,微热的蘑菇,1,1,2727,
346,54000019,道具制作,14006,空气结晶,1,1,2727,
347,54000019,道具制作,14007,烈焰草,1,1,2727,
348,54000019,道具制作,14008,剧毒粘液,1,1,2727,
349,54000019,道具制作,14009,驱魔粉末,1,1,2727,
350,54000019,道具制作,14010,毒蝎断尾,1,1,2727,
351,54000020,消耗品,30007,祝福生命恢复药剂,2,4,25000,
352,54000020,消耗品,30008,大师生命恢复药剂,1,3,25000,
353,54000020,消耗品,30016,微弱能量恢复药剂,2,6,20000,
354,54000020,道具制作,14000,魔法羊皮,1,1,2730,
355,54000020,道具制作,14001,橡树硬皮,1,1,2727,
356,54000020,道具制作,14002,鲜红树果,1,1,2727,
357,54000020,道具制作,14003,能量源石,1,1,2727,
358,54000020,道具制作,14004,六棱冰晶,1,1,2727,
359,54000020,道具制作,14005,微热的蘑菇,1,1,2727,
360,54000020,道具制作,14006,空气结晶,1,1,2727,
361,54000020,道具制作,14007,烈焰草,1,1,2727,
362,54000020,道具制作,14008,剧毒粘液,1,1,2727,
363,54000020,道具制作,14009,驱魔粉末,1,1,2727,
364,54000020,道具制作,14010,毒蝎断尾,1,1,2727,
365,54000021,消耗品,30008,大师生命恢复药剂,1,3,50000,
366,54000021,消耗品,30016,微弱能量恢复药剂,2,6,20000,
367,54000021,道具制作,14000,魔法羊皮,1,1,2730,
368,54000021,道具制作,14001,橡树硬皮,1,1,2727,
369,54000021,道具制作,14002,鲜红树果,1,1,2727,
370,54000021,道具制作,14003,能量源石,1,1,2727,
371,54000021,道具制作,14004,六棱冰晶,1,1,2727,
372,54000021,道具制作,14005,微热的蘑菇,1,1,2727,
373,54000021,道具制作,14006,空气结晶,1,1,2727,
374,54000021,道具制作,14007,烈焰草,1,1,2727,
375,54000021,道具制作,14008,剧毒粘液,1,1,2727,
376,54000021,道具制作,14009,驱魔粉末,1,1,2727,
377,54000021,道具制作,14010,毒蝎断尾,1,1,2727,
378,54000022,消耗品,30008,大师生命恢复药剂,2,4,25000,
379,54000022,消耗品,30009,炼金师的生命恢复药剂,1,3,25000,
380,54000022,消耗品,30016,微弱能量恢复药剂,2,6,20000,
381,54000022,道具制作,14000,魔法羊皮,1,1,2730,
382,54000022,道具制作,14001,橡树硬皮,1,1,2727,
383,54000022,道具制作,14002,鲜红树果,1,1,2727,
384,54000022,道具制作,14003,能量源石,1,1,2727,
385,54000022,道具制作,14004,六棱冰晶,1,1,2727,
386,54000022,道具制作,14005,微热的蘑菇,1,1,2727,
387,54000022,道具制作,14006,空气结晶,1,1,2727,
388,54000022,道具制作,14007,烈焰草,1,1,2727,
389,54000022,道具制作,14008,剧毒粘液,1,1,2727,
390,54000022,道具制作,14009,驱魔粉末,1,1,2727,
391,54000022,道具制作,14010,毒蝎断尾,1,1,2727,
392,54000023,消耗品,30008,大师生命恢复药剂,2,3,50000,
393,54000023,消耗品,30016,微弱能量恢复药剂,5,5,20000,
394,54000023,道具制作,14000,魔法羊皮,1,1,2730,
395,54000023,道具制作,14001,橡树硬皮,1,1,2727,
396,54000023,道具制作,14002,鲜红树果,1,1,2727,
397,54000023,道具制作,14003,能量源石,1,1,2727,
398,54000023,道具制作,14004,六棱冰晶,1,1,2727,
399,54000023,道具制作,14005,微热的蘑菇,1,1,2727,
400,54000023,道具制作,14006,空气结晶,1,1,2727,
401,54000023,道具制作,14007,烈焰草,1,1,2727,
402,54000023,道具制作,14008,剧毒粘液,1,1,2727,
403,54000023,道具制作,14009,驱魔粉末,1,1,2727,
404,54000023,道具制作,14010,毒蝎断尾,1,1,2727,
405,54000024,消耗品,30008,大师生命恢复药剂,2,4,25000,
406,54000024,消耗品,30009,炼金师的生命恢复药剂,1,3,25000,
407,54000024,消耗品,30016,微弱能量恢复药剂,5,5,20000,
408,54000024,道具制作,14000,魔法羊皮,1,1,2730,
409,54000024,道具制作,14001,橡树硬皮,1,1,2727,
410,54000024,道具制作,14002,鲜红树果,1,1,2727,
411,54000024,道具制作,14003,能量源石,1,1,2727,
412,54000024,道具制作,14004,六棱冰晶,1,1,2727,
413,54000024,道具制作,14005,微热的蘑菇,1,1,2727,
414,54000024,道具制作,14006,空气结晶,1,1,2727,
415,54000024,道具制作,14007,烈焰草,1,1,2727,
416,54000024,道具制作,14008,剧毒粘液,1,1,2727,
417,54000024,道具制作,14009,驱魔粉末,1,1,2727,
418,54000024,道具制作,14010,毒蝎断尾,1,1,2727,
419,54000025,消耗品,30009,炼金师的生命恢复药剂,1,3,50000,
420,54000025,消耗品,30016,微弱能量恢复药剂,5,5,20000,
421,54000025,道具制作,14000,魔法羊皮,1,1,2730,
422,54000025,道具制作,14001,橡树硬皮,1,1,2727,
423,54000025,道具制作,14002,鲜红树果,1,1,2727,
424,54000025,道具制作,14003,能量源石,1,1,2727,
425,54000025,道具制作,14004,六棱冰晶,1,1,2727,
426,54000025,道具制作,14005,微热的蘑菇,1,1,2727,
427,54000025,道具制作,14006,空气结晶,1,1,2727,
428,54000025,道具制作,14007,烈焰草,1,1,2727,
429,54000025,道具制作,14008,剧毒粘液,1,1,2727,
430,54000025,道具制作,14009,驱魔粉末,1,1,2727,
431,54000025,道具制作,14010,毒蝎断尾,1,1,2727,
432,54000026,消耗品,30009,炼金师的生命恢复药剂,2,4,25000,
433,54000026,消耗品,30010,帝国生命恢复药剂,1,3,25000,
434,54000026,消耗品,30016,微弱能量恢复药剂,5,5,20000,
435,54000026,道具制作,14000,魔法羊皮,1,1,2730,
436,54000026,道具制作,14001,橡树硬皮,1,1,2727,
437,54000026,道具制作,14002,鲜红树果,1,1,2727,
