道具ID,名称,文字描述,品质,图标,图集路径,物品类型,能否叠加,叠加数量,带回城镇,能否被销毁
12013,初级漩涡宝珠,首饰强化材料，适用1-5星,2,strengthen_xuanwobaoshi1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12014,野兽之齿,首饰强化材料，适用6-8星,3,strengthen_chi2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12015,中级漩涡宝珠,首饰强化材料，适用6-8星,3,strengthen_xuanwobaoshi2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12016,狂兽之齿,首饰强化材料，适用9-10星,4,strengthen_chi3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12017,高级漩涡宝珠,首饰强化材料，适用9-10星,4,strengthen_xuanwobaoshi3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13000,普通铁矿石,武器制作材料，适用1-5星,2,made_tiekuangshi1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13001,铁沙,武器制作材料，适用1-5星,2,made_sha1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13002,精炼铁矿石,武器制作材料，适用6-8星,3,made_tiekuangshi2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13003,银沙,武器制作材料，适用6-8星,3,made_sha2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13004,淬炼铁矿石,武器制作材料，适用9-10星,4,made_tiekuangshi3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13005,金沙,武器制作材料，适用9-10星,4,made_sha3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13006,粗糙的皮革,防具制作材料，适用1-5星,2,made_pige1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13007,铁锭,防具制作材料，适用1-5星,2,made_ding1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13008,柔韧的皮革,防具制作材料，适用6-8星,3,made_pige2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13009,银锭,防具制作材料，适用6-8星,3,made_ding2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13010,坚韧的皮革,防具制作材料，适用9-10星,4,made_pige3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13011,金锭,防具制作材料，适用9-10星,4,made_ding3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13012,铜质汤勺,首饰制作材料，适用1-5星,2,made_tangshao1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13013,玻璃结晶,首饰制作材料，适用1-5星,2,made_jiejing1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13014,银质汤勺,首饰制作材料，适用6-8星,3,made_tangshao2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13015,石英结晶,首饰制作材料，适用6-8星,3,made_jiejing2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13016,金质汤勺,首饰制作材料，适用9-10星,4,made_tangshao3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
13017,水晶结晶,首饰制作材料，适用9-10星,4,made_jiejing3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14000,魔法羊皮,制作回城卷轴的必备材料,3,daojvmade_mofayuanshi,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14001,橡树硬皮,制作全亮卷轴的必备材料,3,daojvmade_xiangshuyingpi,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14002,鲜红树果,制作血瓶的必备材料,2,daojvmade_xianhongshuguo,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14003,能量源石,制作能量药剂的必备材料,2,daojvmade_nengliangyuanshi,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14004,六棱冰晶,制作药剂的一种材料,1,daojvmade_liulengbingjing,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14005,微热的蘑菇,制作药剂的一种材料,1,daojvmade_weiredemogu,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14006,空气结晶,制作药剂的一种材料,1,daojvmade_kongqijiejing,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14007,烈焰草,制作药剂的一种材料,1,daojvmade_lieyancao,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14008,剧毒粘液,制作药剂的一种材料,1,daojvmade_jvdunianye,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14009,驱魔粉末,制作药剂的一种材料,1,daojvmade_qumofenchen,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14010,毒蝎断尾,制作药剂的一种材料,1,daojvmade_duxieduanwei,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
14011,白骨薄片,嚼起来，嘎嘣脆,2,guize_gutoudui,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,0,1
14012,哥布林的金闪闪,不要拿走我的金闪闪,2,guize_huangjinshipin,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,0,1
14013,史莱姆的皮筋,韧劲十足，根本停不下来,2,guize_shilaimuyeti,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,0,1
14014,食人花的嫩叶,鲜的能掐出绿水的枝叶,2,guize_shirenhuayezi,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,0,1
15000,古树嫩枝,制作装备、强化装备的万用材料,1,tongyong_nenzhi,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
15001,餐风饮露,制作装备、强化装备的万用材料,1,tongyong_canfengyinlu,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
15002,金币,货币啊少年，货币啊！,1,qiandao_jinbi,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,999999999,1,1
15003,钻石,钻石,1,zuanshi_1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,999999999,1,1
20000,1级杀戮符文,物理攻击最大值 + 9|物理攻击最小值 + 3|,1,1rune_red_shalu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20001,1级英勇符文,物理攻击最大值 + 6|物理攻击最小值 + 6|,1,1rune_red_yingyong,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20002,1级盾墙符文,物理防御最大值 + 12|物理防御最小值 + 4|,1,1rune_red_dunqiang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20003,1级铁壁符文,物理防御最大值 + 8|物理防御最小值 + 8|,1,1rune_red_tiebi,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20004,1级强壮符文,血量 + 50|能量 + 20|,1,1rune_green_qiangzhuang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20005,1级精力符文,能量 + 40|血量 + 25|,1,1rune_green_jingli,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20006,1级贪婪符文,额外金币 + 10|,1,1rune_green_tanlan,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20007,1级幸运符文,幸运值 + 1|,1,1rune_green_xingyun,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20008,1级寒冷符文,冰属性攻击 + 5|冰属性防御 + 3|,1,1rune_blue_hanleng,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20009,1级炙热符文,火属性攻击 + 5|火属性防御 + 3|,1,1rune_blue_chire,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20010,1级剧毒符文,毒属性攻击 + 5|毒属性防御 + 3|,1,1rune_blue_judu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20011,1级光明符文,光属性攻击 + 5|光属性防御 + 3|,1,1rune_blue_guangming,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20012,1级黑暗符文,暗属性攻击 + 5|暗属性防御 + 3|,1,1rune_blue_heian,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20013,2级杀戮符文,物理攻击最大值 + 18|物理攻击最小值 + 6|,2,2rune_red_shalu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20014,2级英勇符文,物理攻击最大值 + 12|物理攻击最小值 + 12|,2,2rune_red_yingyong,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20015,2级盾墙符文,物理防御最大值 + 17|物理防御最小值 + 6|,2,2rune_red_dunqiang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20016,2级铁壁符文,物理防御最大值 + 11|物理防御最小值 + 11|,2,2rune_red_tiebi,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20017,2级强壮符文,血量 + 100|能量 + 40|,2,2rune_green_qiangzhuang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20018,2级精力符文,能量 + 80|血量 + 50|,2,2rune_green_jingli,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20019,2级贪婪符文,额外金币 + 15|,2,2rune_green_tanlan,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20020,2级幸运符文,幸运值 + 3|,2,2rune_green_xingyun,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20021,2级寒冷符文,冰属性攻击 + 10|冰属性防御 + 6|,2,2rune_blue_hanleng,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20022,2级炙热符文,火属性攻击 + 10|火属性防御 + 6|,2,2rune_blue_chire,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20023,2级剧毒符文,毒属性攻击 + 10|毒属性防御 + 6|,2,2rune_blue_judu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20024,2级光明符文,光属性攻击 + 10|光属性防御 + 6|,2,2rune_blue_guangming,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20025,2级黑暗符文,暗属性攻击 + 10|暗属性防御 + 6|,2,2rune_blue_heian,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20026,3级杀戮符文,物理攻击最大值 + 27|物理攻击最小值 + 9|暴击伤害 + 0.01,3,3rune_red_shalu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20027,3级英勇符文,物理攻击最大值 + 18|物理攻击最小值 + 18|暴击伤害 + 0.01,3,3rune_red_yingyong,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20028,3级盾墙符文,物理防御最大值 + 21|物理防御最小值 + 7|暴击伤害 + 0.01,3,3rune_red_dunqiang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20029,3级铁壁符文,物理防御最大值 + 14|物理防御最小值 + 14|暴击伤害 + 0.01,3,3rune_red_tiebi,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20030,3级强壮符文,血量 + 150|能量 + 60|,3,3rune_green_qiangzhuang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20031,3级精力符文,能量 + 120|血量 + 75|,3,3rune_green_jingli,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20032,3级贪婪符文,额外金币 + 20|,3,3rune_green_tanlan,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20033,3级幸运符文,幸运值 + 4|,3,3rune_green_xingyun,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20034,3级寒冷符文,冰属性攻击 + 15|冰属性防御 + 9|,3,3rune_blue_hanleng,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20035,3级炙热符文,火属性攻击 + 15|火属性防御 + 9|,3,3rune_blue_chire,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20036,3级剧毒符文,毒属性攻击 + 15|毒属性防御 + 9|,3,3rune_blue_judu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20037,3级光明符文,光属性攻击 + 15|光属性防御 + 9|,3,3rune_blue_guangming,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20038,3级黑暗符文,暗属性攻击 + 15|暗属性防御 + 9|,3,3rune_blue_heian,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20039,4级杀戮符文,物理攻击最大值 + 36|物理攻击最小值 + 12|暴击伤害 + 0.03,4,4rune_red_shalu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20040,4级英勇符文,物理攻击最大值 + 24|物理攻击最小值 + 24|暴击伤害 + 0.03,4,4rune_red_yingyong,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20041,4级盾墙符文,物理防御最大值 + 26|物理防御最小值 + 9|暴击伤害 + 0.03,4,4rune_red_dunqiang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20042,4级铁壁符文,物理防御最大值 + 17|物理防御最小值 + 17|暴击伤害 + 0.03,4,4rune_red_tiebi,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20043,4级强壮符文,血量 + 200|能量 + 80|,4,4rune_green_qiangzhuang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20044,4级精力符文,能量 + 160|血量 + 100|,4,4rune_green_jingli,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20045,4级贪婪符文,额外金币 + 25|,4,4rune_green_tanlan,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20046,4级幸运符文,幸运值 + 5|,4,4rune_green_xingyun,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20047,4级寒冷符文,冰属性攻击 + 20|冰属性防御 + 12|暴击率 + 0.01,4,4rune_blue_hanleng,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20048,4级炙热符文,火属性攻击 + 20|火属性防御 + 12|暴击率 + 0.01,4,4rune_blue_chire,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20049,4级剧毒符文,毒属性攻击 + 20|毒属性防御 + 12|暴击率 + 0.01,4,4rune_blue_judu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20050,4级光明符文,光属性攻击 + 20|光属性防御 + 12|暴击率 + 0.01,4,4rune_blue_guangming,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20051,4级黑暗符文,暗属性攻击 + 20|暗属性防御 + 12|暴击率 + 0.01,4,4rune_blue_heian,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20052,5级杀戮符文,物理攻击最大值 + 45|物理攻击最小值 + 15|暴击伤害 + 0.05,5,5rune_red_shalu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20053,5级英勇符文,物理攻击最大值 + 30|物理攻击最小值 + 30|暴击伤害 + 0.05,5,5rune_red_yingyong,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20054,5级盾墙符文,物理防御最大值 + 30|物理防御最小值 + 10|暴击伤害 + 0.05,5,5rune_red_dunqiang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20055,5级铁壁符文,物理防御最大值 + 20|物理防御最小值 + 20|暴击伤害 + 0.05,5,5rune_red_tiebi,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20056,5级强壮符文,血量 + 250|能量 + 100|,5,5rune_green_qiangzhuang,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20057,5级精力符文,能量 + 200|血量 + 125|,5,5rune_green_jingli,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20058,5级贪婪符文,额外金币 + 30|,5,5rune_green_tanlan,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20059,5级幸运符文,幸运值 + 6|,5,5rune_green_xingyun,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20060,5级寒冷符文,冰属性攻击 + 25|冰属性防御 + 15|暴击率 + 0.01,5,5rune_blue_hanleng,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20061,5级炙热符文,火属性攻击 + 25|火属性防御 + 15|暴击率 + 0.01,5,5rune_blue_chire,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20062,5级剧毒符文,毒属性攻击 + 25|毒属性防御 + 15|暴击率 + 0.01,5,5rune_blue_judu,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20063,5级光明符文,光属性攻击 + 25|光属性防御 + 15|暴击率 + 0.01,5,5rune_blue_guangming,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
20064,5级黑暗符文,暗属性攻击 + 25|暗属性防御 + 15|暴击率 + 0.01,5,5rune_blue_heian,UI/RuneAtlas/RuneAtlasRef,2,1,1,1,1
30000,回城卷轴,使用可以直接返回城镇（不损失装备材料）,3,daojv_huichengjuanzhou,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30001,全知宝石,微微发光的宝石，使用后可以驱散迷雾,3,daojv_quanlinagbaoshi,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30002,微弱生命药剂,立即恢复500生命,1,drugs_xueping,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30003,小型生命药剂,立即恢复1000生命,1,drugs_xueping1,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30004,中型生命药剂,立即恢复2000生命,1,drugs_xueping2,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30005,大型生命药剂,立即恢复3000生命,1,drugs_xueping3,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30006,巨型生命药剂,立即恢复4000生命,2,drugs_xueping4,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30007,祝福生命药剂,立即恢复5000生命,2,drugs_xueping5,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30008,大师生命药剂,立即恢复7000生命,2,drugs_xueping6,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30009,炼金师生命药剂,立即恢复10000生命,2,drugs_xueping7,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30010,帝国生命药剂,立即恢复13000生命,3,drugs_xueping8,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30011,神圣生命药剂,立即恢复18000生命,3,drugs_xueping9,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30012,十夫长援助胶剂,立即恢复10%最大生命值,2,drugs_xueping10,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30013,百夫长生命药剂,立即恢复30%最大生命值,2,drugs_xueping11,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30014,千夫长生命药剂,立即恢复50%最大生命值,2,drugs_xueping12,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30015,大领主生命药剂,立即恢复100%最大生命值,3,drugs_xueping13,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30016,微弱能量药剂,立即恢复500能量,1,drugs_lanping,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30017,小型能量药剂,立即恢复1000能量,1,drugs_lanping1,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30018,中型能量药剂,立即恢复2000能量,1,drugs_lanping2,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30019,大型能量药剂,立即恢复3000能量,1,drugs_lanping3,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30020,巨型能量药剂,立即恢复4000能量,2,drugs_lanping4,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30021,祝福能量药剂,立即恢复5000能量,2,drugs_lanping5,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30022,大师能量药剂,立即恢复7000能量,2,drugs_lanping6,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30023,炼金师能量药剂,立即恢复10000能量,2,drugs_lanping7,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30024,帝国能量药剂,立即恢复13000能量,3,drugs_lanping8,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30025,神圣能量药剂,立即恢复18000能量,3,drugs_lanping9,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30026,十夫长能量药剂,立即恢复10%最大能量值,2,drugs_lanping10,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30027,百夫长能量药剂,立即恢复30%最大能量值,2,drugs_lanping11,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30028,千夫长能量药剂,立即恢复50%最大能量值,2,drugs_lanping12,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30029,大领主能量药剂,立即恢复100%最大能量值,3,drugs_lanping13,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30030,军粮丸,同时恢复微量生命和能量,2,drugs_1_mianbao,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30031,十夫长的补给,同时恢复少量生命和能量,2,drugs_2_nailao,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30032,百夫长的补给,同时恢复中量生命和能量,2,drugs_3_jitui,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30033,千夫长的补给,同时恢复大量生命和能量,2,drugs_xueping,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
30034,乔兹的守护,加血30%加蓝30%，不要给玩家这个东西,3,drugs_4_kaorou,UI/GoodsIconAtlas/GoodsAtlas_ref,3,0,99,0,1
