ID,装备等级,装备类型,职业需求,装备评分,使用部位,能否带回城镇,套装,强化上限,属性1,属性1增加值,属性2,属性2增加值,属性3,属性3增加值,属性4,属性4增加值,属性5,属性5增加值,属性6,属性6增加值,属性7,属性7增加值,属性8,属性8增加值,额外增加攻击速度,背面插槽,背面贴图,侧面插槽,侧面贴图,正面插槽,正面贴图
40013,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T1_b_cloak2|T1_b_leg_big_right|T1_b_leg_big_left|T1_b_cloak|T1_b_arm_big_right|T1_b_arm_big_left|T1_b_chest|T1_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T1_s_arm_big_left|T1_s_leg_big_left|T1_s_cloak2|T1_s_cloak|T1_s_chest|T1_s_leg_big_right|T1_s_belt|T1_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T1_f_cloak2|T1_f_leg_big_left|T1_f_leg_big_right|T1_f_arm_big_left|T1_f_arm_big_right|T1_f_chest|T1_f_cloak|T1_f_belt
40014,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,head,T1_b_head,head,T1_s_head,head,T1_f_head
40015,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,foot_right|leg_small_right|leg_small_left|foot_left,T1_b_foot_right|T1_b_leg_small_right|T1_b_leg_small_left|T1_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T1_s_leg_small_left|T1_s_foot_left|T1_s_foot_right|T1_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T1_f_leg_small_left|T1_f_foot_left|T1_f_foot_right|T1_f_leg_small_right
40016,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,scapula_left|scapula_right,T1_b_scapula_left|T1_b_scapula_right,scapula_left|scapula_right,T1_s_scapula_left|T1_s_scapula_right,scapula_right|scapula_left,T1_f_scapula_right|T1_f_scapula_left
40017,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,hand_right|arm_small_right|arm_small_left,T1_b_hand_right|T1_b_arm_small_right|T1_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T1_s_hand_left|T1_s_arm_small_left|T1_s_hand_right|T1_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T1_f_hand_left|T1_f_arm_small_left|T1_f_hand_right|T1_f_arm_small_right
40018,1,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,fire|word,T1_b_fire|T1_b_word,fire|word,T1_s_fire|T1_s_word,fire|word,T1_f_fire|T1_f_word
40019,1,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
40020,1,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
40021,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,sword01,T2_b_sword04,sword01,T2_s_sword04,sword01,T2_f_sword04
40022,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T2_b_cloak2|T2_b_leg_big_right|T2_b_leg_big_left|T2_b_cloak|T2_b_arm_big_right|T2_b_arm_big_left|T2_b_chest_e|T2_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T2_s_arm_big_left|T2_s_leg_big_left|T2_s_cloak2|T2_s_cloak|T2_s_chest_e|T2_s_leg_big_right|T2_s_belt|T2_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T2_f_cloak2|T2_f_leg_big_left|T2_f_leg_big_right|T2_f_arm_big_left|T2_f_arm_big_right|T2_f_chest_e|T2_f_cloak|T2_f_belt
40023,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,head,T2_b_head_e,head,T2_s_head_e,head,T2_f_head_e
40024,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,foot_right|leg_small_right|leg_small_left|foot_left,T2_b_foot_right|T2_b_leg_small_right|T2_b_leg_small_left|T2_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T2_s_leg_small_left|T2_s_foot_left|T2_s_foot_right|T2_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T2_f_leg_small_left|T2_f_foot_left|T2_f_foot_right|T2_f_leg_small_right
40025,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,scapula_left|scapula_right,T2_b_scapula_left|T2_b_scapula_right,scapula_left|scapula_right,T2_s_scapula_left|T2_s_scapula_right,scapula_right|scapula_left,T2_f_scapula_right|T2_f_scapula_left
40026,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,hand_right|arm_small_right|arm_small_left,T2_b_hand_right|T2_b_arm_small_right|T2_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T2_s_hand_left|T2_s_arm_small_left|T2_s_hand_right|T2_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T2_f_hand_left|T2_f_arm_small_left|T2_f_hand_right|T2_f_arm_small_right
40027,1,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,fire|word,T2_b_fire|T2_b_word,fire|word,T2_s_fire|T2_s_word,fire|word,T2_f_fire|T2_f_word
40028,1,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
40029,1,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
40030,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,sword01,T3_b_sword05,sword01,T3_s_sword05,sword01,T3_f_sword05
40031,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T3_b_cloak2|T3_b_leg_big_right|T3_b_leg_big_left|T3_b_cloak|T3_b_arm_big_right|T3_b_arm_big_left|T3_b_chest_g|T3_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T3_s_arm_big_left|T3_s_leg_big_left|T3_s_cloak2|T3_s_cloak|T3_s_chest_g|T3_s_leg_big_right|T3_s_belt|T3_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T3_f_cloak2|T3_f_leg_big_left|T3_f_leg_big_right|T3_f_arm_big_left|T3_f_arm_big_right|T3_f_chest_g|T3_f_cloak|T3_f_belt
40032,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,head,T3_b_head_g,head,T3_s_head_g,head,T3_f_head_g
40033,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,foot_right|leg_small_right|leg_small_left|foot_left,T3_b_foot_right|T3_b_leg_small_right|T3_b_leg_small_left|T3_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T3_s_leg_small_left|T3_s_foot_left|T3_s_foot_right|T3_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T3_f_leg_small_left|T3_f_foot_left|T3_f_foot_right|T3_f_leg_small_right
40034,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,scapula_left|scapula_right,T3_b_scapula_left|T3_b_scapula_right,scapula_left|scapula_right,T3_s_scapula_left|T3_s_scapula_right,scapula_right|scapula_left,T3_f_scapula_right|T3_f_scapula_left
40035,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,hand_right|arm_small_right|arm_small_left,T3_b_hand_right|T3_b_arm_small_right|T3_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T3_s_hand_left|T3_s_arm_small_left|T3_s_hand_right|T3_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T3_f_hand_left|T3_f_arm_small_left|T3_f_hand_right|T3_f_arm_small_right
40036,1,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,fire|word,T3_b_fire|T3_b_word,fire|word,T3_s_fire|T3_s_word,fire|word,T3_f_fire|T3_f_word
40037,1,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
40038,1,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
40039,1,2,0,68,2,0,0,0,6,1,5,1,24,33,5,2,0,35,0,1,0,1,0,1,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T6_b_cloak2|T6_b_leg_big_right|T6_b_leg_big_left|T6_b_cloak|T6_b_arm_big_right|T6_b_arm_big_left|T6_b_chest|T6_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T6_s_arm_big_left|T6_s_leg_big_left|T6_s_cloak2|T6_s_cloak|T6_s_chest|T6_s_leg_big_right|T6_s_belt|T6_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T6_f_cloak2|T6_f_leg_big_left|T6_f_leg_big_right|T6_f_arm_big_left|T6_f_arm_big_right|T6_f_chest|T6_f_cloak|T6_f_belt
40040,1,2,0,104,2,0,0,0,6,1,5,1,24,33,0,2,24,35,0,1,0,1,0,1,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T6_b_cloak2|T6_b_leg_big_right|T6_b_leg_big_left|T6_b_cloak|T6_b_arm_big_right|T6_b_arm_big_left|T6_b_chest|T6_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T6_s_arm_big_left|T6_s_leg_big_left|T6_s_cloak2|T6_s_cloak|T6_s_chest|T6_s_leg_big_right|T6_s_belt|T6_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T6_f_cloak2|T6_f_leg_big_left|T6_f_leg_big_right|T6_f_arm_big_left|T6_f_arm_big_right|T6_f_chest|T6_f_cloak|T6_f_belt
40041,1,2,0,73,2,0,0,0,6,1,5,1,24,33,0,2,0,35,12,1,0,1,0,1,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T6_b_cloak2|T6_b_leg_big_right|T6_b_leg_big_left|T6_b_cloak|T6_b_arm_big_right|T6_b_arm_big_left|T6_b_chest|T6_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T6_s_arm_big_left|T6_s_leg_big_left|T6_s_cloak2|T6_s_cloak|T6_s_chest|T6_s_leg_big_right|T6_s_belt|T6_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T6_f_cloak2|T6_f_leg_big_left|T6_f_leg_big_right|T6_f_arm_big_left|T6_f_arm_big_right|T6_f_chest|T6_f_cloak|T6_f_belt
40042,1,2,0,73,2,0,0,0,6,1,5,1,24,33,0,2,0,35,13,1,0,1,0,1,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T6_b_cloak2|T6_b_leg_big_right|T6_b_leg_big_left|T6_b_cloak|T6_b_arm_big_right|T6_b_arm_big_left|T6_b_chest|T6_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T6_s_arm_big_left|T6_s_leg_big_left|T6_s_cloak2|T6_s_cloak|T6_s_chest|T6_s_leg_big_right|T6_s_belt|T6_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T6_f_cloak2|T6_f_leg_big_left|T6_f_leg_big_right|T6_f_arm_big_left|T6_f_arm_big_right|T6_f_chest|T6_f_cloak|T6_f_belt
40043,1,2,0,42,4,0,0,0,6,1,5,1,24,10,5,1,0,18,0,1,0,1,0,1,0,foot_right|leg_small_right|leg_small_left|foot_left,T6_b_foot_right|T6_b_leg_small_right|T6_b_leg_small_left|T6_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T6_s_leg_small_left|T6_s_foot_left|T6_s_foot_right|T6_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T6_f_leg_small_left|T6_f_foot_left|T6_f_foot_right|T6_f_leg_small_right
40044,1,2,0,56,4,0,0,0,6,1,5,1,24,10,0,1,24,18,0,1,0,1,0,1,0,foot_right|leg_small_right|leg_small_left|foot_left,T6_b_foot_right|T6_b_leg_small_right|T6_b_leg_small_left|T6_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T6_s_leg_small_left|T6_s_foot_left|T6_s_foot_right|T6_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T6_f_leg_small_left|T6_f_foot_left|T6_f_foot_right|T6_f_leg_small_right
40045,1,2,0,47,4,0,0,0,6,1,5,1,24,10,0,1,0,18,17,1,0,1,0,1,0,foot_right|leg_small_right|leg_small_left|foot_left,T6_b_foot_right|T6_b_leg_small_right|T6_b_leg_small_left|T6_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T6_s_leg_small_left|T6_s_foot_left|T6_s_foot_right|T6_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T6_f_leg_small_left|T6_f_foot_left|T6_f_foot_right|T6_f_leg_small_right
40046,1,2,0,47,4,0,0,0,6,1,5,1,24,10,0,1,0,18,18,1,0,1,0,1,0,foot_right|leg_small_right|leg_small_left|foot_left,T6_b_foot_right|T6_b_leg_small_right|T6_b_leg_small_left|T6_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T6_s_leg_small_left|T6_s_foot_left|T6_s_foot_right|T6_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T6_f_leg_small_left|T6_f_foot_left|T6_f_foot_right|T6_f_leg_small_right
40047,1,3,0,73,7,0,0,0,5,1,15,1,25,8,24,6,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
40048,1,3,0,73,7,0,0,0,5,1,14,1,25,8,24,6,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
40049,1,3,0,73,7,0,0,0,5,1,16,1,25,8,24,6,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
40050,1,3,0,80,7,0,0,0,5,1,15,1,25,8,0,6,12,1,0,1,0,2,0,2,0,0,0,0,0,0,0
40051,1,3,0,80,7,0,0,0,5,1,14,1,25,8,0,6,12,1,0,1,0,2,0,2,0,0,0,0,0,0,0
40052,1,3,0,80,7,0,0,0,5,1,16,1,25,8,0,6,12,1,0,1,0,2,0,2,0,0,0,0,0,0,0
40053,1,3,0,80,7,0,0,0,5,1,15,1,25,8,0,6,0,1,17,1,0,2,0,2,0,0,0,0,0,0,0
40054,1,3,0,80,7,0,0,0,5,1,14,1,25,8,0,6,0,1,17,1,0,2,0,2,0,0,0,0,0,0,0
40055,1,3,0,80,7,0,0,0,5,1,16,1,25,8,0,6,0,1,17,1,0,2,0,2,0,0,0,0,0,0,0
40056,1,3,0,80,7,0,0,0,5,1,15,1,25,8,0,6,13,1,0,1,0,2,0,2,0,0,0,0,0,0,0
40057,1,3,0,80,7,0,0,0,5,1,14,1,25,8,0,6,13,1,0,1,0,2,0,2,0,0,0,0,0,0,0
40058,1,3,0,80,7,0,0,0,5,1,16,1,25,8,0,6,13,1,0,1,0,2,0,2,0,0,0,0,0,0,0
40059,1,3,0,80,7,0,0,0,5,1,15,1,25,8,0,6,0,1,18,1,0,2,0,2,0,0,0,0,0,0,0
40060,1,3,0,80,7,0,0,0,5,1,14,1,25,8,0,6,0,1,18,1,0,2,0,2,0,0,0,0,0,0,0
40061,1,3,0,80,7,0,0,0,5,1,16,1,25,8,0,6,0,1,18,1,0,2,0,2,0,0,0,0,0,0,0
40062,1,2,0,81,1,0,0,0,24,14,15,1,25,12,5,1,0,29,0,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40063,1,2,0,81,1,0,0,0,24,14,14,1,25,12,5,1,0,29,0,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40064,1,2,0,81,1,0,0,0,24,14,16,1,25,12,5,1,0,29,0,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40065,1,2,0,109,1,0,0,0,24,14,15,1,25,12,0,1,24,29,0,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40066,1,2,0,109,1,0,0,0,24,14,14,1,25,12,0,1,24,29,0,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40067,1,2,0,109,1,0,0,0,24,14,16,1,25,12,0,1,24,29,0,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40068,1,2,0,86,1,0,0,0,24,14,15,1,25,12,0,1,0,29,12,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40069,1,2,0,86,1,0,0,0,24,14,14,1,25,12,0,1,0,29,12,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40070,1,2,0,86,1,0,0,0,24,14,16,1,25,12,0,1,0,29,12,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40071,1,2,0,86,1,0,0,0,24,14,15,1,25,12,0,1,0,29,13,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40072,1,2,0,86,1,0,0,0,24,14,14,1,25,12,0,1,0,29,13,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40073,1,2,0,86,1,0,0,0,24,14,16,1,25,12,0,1,0,29,13,1,0,1,0,1,0,head,T6_b_head,head,T6_s_head,head,T6_f_head
40074,1,2,0,44,5,0,0,0,6,1,5,1,15,1,1,2,0,1,0,18,0,0.01,0,0.03,0,hand_right|arm_small_right|arm_small_left,T6_b_hand_right|T6_b_arm_small_right|T6_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T6_s_hand_left|T6_s_arm_small_left|T6_s_hand_right|T6_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T6_f_hand_left|T6_f_arm_small_left|T6_f_hand_right|T6_f_arm_small_right
40075,1,2,0,44,5,0,0,0,6,1,5,1,14,1,1,2,0,1,0,18,0,0.01,0,0.03,0,hand_right|arm_small_right|arm_small_left,T6_b_hand_right|T6_b_arm_small_right|T6_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T6_s_hand_left|T6_s_arm_small_left|T6_s_hand_right|T6_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T6_f_hand_left|T6_f_arm_small_left|T6_f_hand_right|T6_f_arm_small_right
40076,1,2,0,44,5,0,0,0,6,1,5,1,16,1,1,2,0,1,0,18,0,0.01,0,0.03,0,hand_right|arm_small_right|arm_small_left,T6_b_hand_right|T6_b_arm_small_right|T6_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T6_s_hand_left|T6_s_arm_small_left|T6_s_hand_right|T6_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T6_f_hand_left|T6_f_arm_small_left|T6_f_hand_right|T6_f_arm_small_right
40077,1,2,0,45,5,0,0,0,6,1,5,1,15,1,0,2,5,1,0,18,0,0.01,0,0.03,0,hand_right|arm_small_right|arm_small_left,T6_b_hand_right|T6_b_arm_small_right|T6_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T6_s_hand_left|T6_s_arm_small_left|T6_s_hand_right|T6_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T6_f_hand_left|T6_f_arm_small_left|T6_f_hand_right|T6_f_arm_small_right
40078,1,2,0,45,5,0,0,0,6,1,5,1,14,1,0,2,5,1,0,18,0,0.01,0,0.03,0,hand_right|arm_small_right|arm_small_left,T6_b_hand_right|T6_b_arm_small_right|T6_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T6_s_hand_left|T6_s_arm_small_left|T6_s_hand_right|T6_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T6_f_hand_left|T6_f_arm_small_left|T6_f_hand_right|T6_f_arm_small_right
40079,1,2,0,45,5,0,0,0,6,1,5,1,16,1,0,2,5,1,0,18,0,0.01,0,0.03,0,hand_right|arm_small_right|arm_small_left,T6_b_hand_right|T6_b_arm_small_right|T6_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T6_s_hand_left|T6_s_arm_small_left|T6_s_hand_right|T6_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T6_f_hand_left|T6_f_arm_small_left|T6_f_hand_right|T6_f_arm_small_right
40080,1,2,0,59,5,0,0,0,6,1,5,1,15,1,0,2,0,1,24,18,0,0.01,0,0.03,0,hand_right|arm_small_right|arm_small_left,T6_b_hand_right|T6_b_arm_small_right|T6_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T6_s_hand_left|T6_s_arm_small_left|T6_s_hand_right|T6_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T6_f_hand_left|T6_f_arm_small_left|T6_f_hand_right|T6_f_arm_small_right
40081,1,2,0,59,5,0,0,0,6,1,5,1,14,1,0,2,0,1,24,18,0,0.01,0,0.03,0,hand_right|arm_small_right|arm_small_left,T6_b_hand_right|T6_b_arm_small_right|T6_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T6_s_hand_left|T6_s_arm_small_left|T6_s_hand_right|T6_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T6_f_hand_left|T6_f_arm_small_left|T6_f_hand_right|T6_f_arm_small_right
