KEY,CN,EN
随机事件key9,一个铁匠用的铁砧。。为什么会出现在本不该出现的位置上？你有些不安。。。。。,An anvil used by a blacksmith.Why do you appear in a position that should not appear? You are a little upset. . . . . 
随机事件key10,在地上出现了一个出现了一个裂缝，不是很大也看不清楚里面的状况里面不时的闪出金色的光芒，好像有什么宝物一样。。。。。,There was a crack on the ground. It was not too big to see the situation inside.From time to time  there is a golden light shining like a treasure. . . . . 
强制打开,强制打开,Forced to open
硬性破坏,硬性破坏,Hard destruction
带走箱子,带走箱子,Take away the box
离开转身,离开转身,Leave turning
伸手探知,伸手探知,Reach out
同意,同意,agree
打开宝箱,打开宝箱,Open treasure chest
赶快离开,赶快离开,Leave now
强健体魄,强健体魄,Physical fitness
伤痛恢复,伤痛恢复,Pain recovery
获得力量,获得力量,Gain strength
统统拒绝,统统拒绝,Refuse all
触碰,触碰,Touch
离开,离开,go away
获得装备,获得装备,Get equipment
拒绝,拒绝,Refuse
倾听,倾听,listen
锻造武器,锻造武器,Forged weapon
熔炼装备,熔炼装备,Smelting equipment
打开,打开,turn on
[FF4500]扣除100点血上限[-]    [76EE00]获得一个道具[-],[FF4500]扣除100点血上限[-]    [76EE00]获得一个道具[-],[FF4500] deduct 100 points of blood limit [-] [76EE00] get a prop [-]
[FF4500]引来怪物[-]    [76EE00]打开箱子[-],[FF4500]引来怪物[-]    [76EE00]打开箱子[-],[FF4500] attracting monsters [-] [76EE00] opening the box [-]
[FF4500]额外金币-10[-]    [76EE00]打开箱子[-],[FF4500]额外金币-10[-]    [76EE00]打开箱子[-],[FF4500] Extra Gold Coin -10[-] [76EE00] Open Box [-]
[FF4500]会引来怪物[-]    [76EE00]打开箱子[-],[FF4500]会引来怪物[-]    [76EE00]打开箱子[-],[FF4500] will attract monsters [-] [76EE00] open the box [-]
[FF4500]受到诅咒[-]    [76EE00]打开箱子[-],[FF4500]受到诅咒[-]    [76EE00]打开箱子[-],[FF4500] Cursed [-] [76EE00] Open the box [-]
[FF4500]失去5%的血量上限[-]    [76EE00]打开箱子[-],[FF4500]失去5%的血量上限[-]    [76EE00]打开箱子[-],[FF4500] Loss of 5% of the upper limit of blood [-] [76EE00] open the box [-]
[FF4500]增加血量上限[-],[FF4500]增加血量上限[-],[FF4500] Increase the upper limit of blood volume [-]
[FF4500]恢复50%血量[-]    [76EE00]打开箱子[-],[FF4500]恢复50%血量[-]    [76EE00]打开箱子[-],[FF4500]Recover 50% of blood volume [-] [76EE00]Open the box [-]
[FF4500]增加攻击力[-],[FF4500]增加攻击力[-],[FF4500] Increase attack power [-]
[FF4500]增加血量[-]    [76EE00]扣除金币[-],[FF4500]增加血量[-]    [76EE00]扣除金币[-],[FF4500] Increase blood volume [-] [76EE00] deduct gold coins [-]
[FF4500]随机获得一件装备[-]    [76EE00]扣除血量[-],[FF4500]随机获得一件装备[-]    [76EE00]扣除血量[-],[FF4500] Randomly obtained a piece of equipment [-] [76EE00] deducted blood volume [-]
[FF4500]随机获得一件物品[-],[FF4500]随机获得一件物品[-],[FF4500] Randomly get an item [-]
[FF4500]获得武器[-],[FF4500]获得武器[-],[FF4500]Get weapons [-]
[FF4500]未知效果[-],[FF4500]未知效果[-],[FF4500]Unknown effect [-]
随机事件key11,你用一块巨大的石头，打碎了宝箱，引来了神的愤怒，你被诅咒了,You used a huge stone to break the treasure chest  which attracted the wrath of God. You were cursed.
随机事件key12,你战胜了怪物，虽然受了一些伤，但是成功打开了宝箱,You defeated the monster  and although it suffered some injuries  it successfully opened the treasure chest.
随机事件key13,你带走了箱子，引来了霉运，属性值 [76EE00]降低[-]，你也因此得到了箱子中的道具,You took the box and brought a bad luck. The attribute value [76EE00] decreased [-]  so you got the item in the box.
随机事件key14,你转身放弃了箱子，箱子中露出一双眼睛注视着你,You turned and gave up the box  and a pair of eyes in the box looked at you.
随机事件key15,你战胜了怪物，虽然受了一些伤，但是成功打开了宝箱,You defeated the monster  and although it suffered some injuries  it successfully opened the treasure chest.
随机事件key16,你带走了箱子，引来了霉运，属性值 [76EE00]降低[-]，你也因此得到了箱子中的道具,You took the box and brought a bad luck. The attribute value [76EE00] decreased [-]  so you got the item in the box.
随机事件key17,你转身放弃了箱子，箱子中露出一双眼睛注视着你,You turned and gave up the box  and a pair of eyes in the box looked at you.
随机事件key18,你同意了小蛇的要求，它露出了尖牙，咬向了你，,You agree with the request of the snake  it reveals the fangs and bites at you.
随机事件key19,你转身放弃了箱子，箱子中露出一双眼睛注视着你,You turned and gave up the box  and a pair of eyes in the box looked at you.
随机事件key20,开始战斗,start fighting
随机事件key21,你悄悄的离开了，什么事都没有发生，但是宝箱却不翼而飞了。。。。,You left quietly  nothing happened  but the treasure chest was missing. . . .
随机事件key22,精灵们将能量导向了你的身体，你感觉自己似乎充满了力量,The elves direct energy to your body  and you feel like you are full of strength.
随机事件key23,精灵们欢快得为你疗伤，你身上得伤口都得到了治愈，似乎以前更加精神有力,The elves are healing for you  and the wounds on your body are cured. It seems to be more powerful before.
随机事件key24,你受到精灵的祝福，攻击力获得了提升,You are blessed by the elves and your attack power is improved.
随机事件key25,欢快得精灵们变得失落，渐渐得消失了,The joyful elves have become lost and gradually disappeared.
随机事件key26,神圣的光芒治愈了你的伤痛，并为你带来了一丝幸运，因此获得了一件道具,The sacred light healed your pain and brought you a little luck  so you got a prop
随机事件key27,神圣的光芒也因为你的离开而变得黯淡，最后逐渐消失了,The sacred light also becomes bleak because of your departure  and finally disappears.
随机事件key28,鬼火赐给了你战斗的力量，你也因此受到了失去了金币,Ghostfire has given you the power to fight  and you have lost the gold coins.
随机事件key29,你随机获得了一件装备，但是也因此变得虚弱,You got a piece of equipment at random  but it became weak
随机事件key30,鬼火阴险的看向了你,Ghost fire insidiously looked at you
随机事件key31,你获得了雕像的赐福,You got the blessing of the statue
随机事件key32,你的选择是明智的，也许吧。。。。。。。,Your choice is wise  maybe. . . . . . .
随机事件key33,你获得了力量，但是也失去了宝箱中的武器,You gain strength  but you also lose the weapon in the treasure chest.
随机事件key34,你找到了一件武器,You found a weapon
随机事件key35,你离开了铁砧，铁砧也消失了,You left the anvil and the anvil disappeared.
随机事件key36,你获得了宝箱，但是也被不知名的毒物刺中，损失了血量,You got the treasure chest  but it was also stabbed by unknown poisons  losing blood.
随机事件key37,裂缝消失了，宝箱也消失不见了。。。。,The crack disappeared and the treasure chest disappeared. . . .
随机事件,随机事件,Random events
击杀boss,击杀boss,Kill boss
“你背包中的战利品被怪物瓜分了”,“你背包中的战利品被怪物瓜分了”,The spoils in your backpack are divided by monsters.
“在你逃离副本的路上，随身携带的一件装备遗失了”,“在你逃离副本的路上，随身携带的一件装备遗失了”,On the way you escaped the copy  a piece of equipment that you carry with you is lost.
回城,回城,Back to city
复活,复活,Revive
跳过,跳过,Skip
提示,提示,Notice
游戏公告,游戏公告,Announcement
游客登陆提醒,游客登陆提醒,Visitor login reminder
使用游客登陆容易造成数据丢失，且不能进行充值，请尽快绑定账号。,使用游客登陆容易造成数据丢失，且不能进行充值，请尽快绑定账号。,Using a visitor to log in is easy to cause data loss  and can not be recharged  please bind the account as soon as possible.
游客绑定,游客绑定,Binding
进入游戏,进入游戏,Enter
加载中…,加载中…,loading
逃跑,逃跑,Run away
设置,设置,Setting
基本设置,基本设置,basic settings
音乐,音乐,music
音效,音效,Sound effect
点击移动,点击移动,Click to move
虚拟摇杆,虚拟摇杆,Virtual joystick
下层询问,下层询问,Lower inquiry
地图信息,地图信息,Map information
这里曾是边远之地的一处守望垒，由于远古巨兽的苏醒，人民已经迁离了这里，只剩下一座偌大的地下城，传说中隐藏着无尽的秘密和宝藏。,这里曾是边远之地的一处守望垒，由于远古巨兽的苏醒，人民已经迁离了这里，只剩下一座偌大的地下城，传说中隐藏着无尽的秘密和宝藏。,It used to be a watchtower in a remote place. Due to the awakening of ancient behemoths  the people have moved away from here  leaving only a large underground city. The legend hides endless secrets and treasures.
结束冒险,结束冒险,End the adventure
暂离,暂离,Leave
职业树,职业树,Career
雇佣兵“米山”出自以下哪一款游戏？,雇佣兵“米山”出自以下哪一款游戏？,Which of the following games does the mercenary “Mishan“ come from?
“太阁立志传5”中，文武全才指的是谁？,“太阁立志传5”中，文武全才指的是谁？,In the “Taige Lizhi Chuan 5“  who is the Wenwu Quancai?
“要致富，先撸树”出自以下哪款游戏？,“要致富，先撸树”出自以下哪款游戏？,Which of the following games does the sentence “you want to get rich  eucalyptus  first“ came from ?
“来局昆特牌吧”这句话出自？,“来局昆特牌吧”这句话出自？,Which of the following games  does the sentence “Let's come to the Kunte brand?“ came from?
“直到我膝盖中了一箭”这句话出自？,“直到我膝盖中了一箭”这句话出自？,Which of the following games does the sentence“Until I got an arrow in my knee“ came from?
人们常说的“再来一回合”说的是哪个游戏？,人们常说的“再来一回合”说的是哪个游戏？,which of the following games does the “returning round” that people often say?
“脸滚键盘”这一词起源于哪一款游戏？,“脸滚键盘”这一词起源于哪一款游戏？,Which game does the word “face roll keyboard“ originate from?
“飞龙骑脸怎么输”是谁的名言？,“飞龙骑脸怎么输”是谁的名言？,Who said the famous sentence “How does the dragon ride face?“
被玩家称为“血色狗男女”中的“男”是谁？,被玩家称为“血色狗男女”中的“男”是谁？,Who is the “male“ in the game called “Bloody Dog Men and Women“?
“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,“敌羞吾去脱她衣”这句话出自以下哪一款游戏？,Which of the following games does the phrase “Emperious Shame Go to Take Her Clothes“?
游戏“魔兽争霸3”中，高维修费用的人口下限是？,游戏“魔兽争霸3”中，高维修费用的人口下限是？,In the game “Warcraft 3“  the lower limit of the population for high maintenance costs is?
游戏“魔兽争霸3”中，低维修费用的人口下限是？,游戏“魔兽争霸3”中，低维修费用的人口下限是？,In the game “Warcraft 3“  the lower limit of the population for low maintenance costs is?
“上上下下左右左右BA”出自以下哪款游戏？,“上上下下左右左右BA”出自以下哪款游戏？,Which of the following game has the operation called  “Up  Up  Down  Left  Right  Left  Right  and Right“?
以下哪一个选项是“魔兽争霸3”的无敌作弊码？,以下哪一个选项是“魔兽争霸3”的无敌作弊码？,Which of the following options is the invincible cheat code for Warcraft III?
“超级马里奥”中马里奥的双胞胎弟弟是？,“超级马里奥”中马里奥的双胞胎弟弟是？,Who is Mario's twin brother in Super Mario?
“塞尔达传说”的主角叫什么？,“塞尔达传说”的主角叫什么？,What name is the protagonist of “The Legend of Zelda“?
“电竞毒奶”指的是谁？,“电竞毒奶”指的是谁？,Who is as known as “e-sport poisoned milk”?
《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,《魔兽争霸3》游戏中，被玩家们称作为“塔魔”的中国选手是？,In the “Warcraft 3“ game  which Chinese player is called “Towers“ by the players?
众所周知，枪骑兵（lancer）的幸运等级是？,众所周知，枪骑兵（lancer）的幸运等级是？,As we know  the lucky level of the lancer is?
游戏《无尽秘境》中，“精灵法师”的性别是？,游戏《无尽秘境》中，“精灵法师”的性别是？,In the game “Endless Secrets“  what is the gender of “Elf Master“?
游戏《无尽秘境》中，一件装备最多强化多少次？,游戏《无尽秘境》中，一件装备最多强化多少次？,How many times does a piece of equipment can be strengthen in the game “Endless Secrets“?
游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,游戏《无尽秘境》中，强化装备的结果，可能出现几种情况？,In the game “Endless Secrets“  the results of the enhanced equipment  there may be several situations?
游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,游戏《无尽秘境》中，“帝国生命恢复药剂”恢复的血量为？,In the game “Endless Secrets“  how many HP value can be restored by “Imperial Life Recovery Medicine“?
你会将本游戏？,你会将本游戏？,Will you play this game?
“大吉大利，晚上吃鸡”这句话最早出现于？,“大吉大利，晚上吃鸡”这句话最早出现于？,Where is the phrase “Winner Winner  Chicken Dinner” first appeared in?
游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,游戏《以撒的结合》中，以撒妈妈的高跟鞋是什么颜色的？,In the game “The Combination of Isaac“  what color is Isaac's mother's high heels?
《刀剑神域》中，桐人的黑剑叫什么名字？,《刀剑神域》中，桐人的黑剑叫什么名字？,What is the name of the black sword of Kirito in “Sword Art Online“?
《刀剑神域》中，桐人的白剑叫什么名字？,《刀剑神域》中，桐人的白剑叫什么名字？,What is the name of the white sword of Kirito in “Sword Art Online“?
鲁鲁修的geass是左眼还是右眼？,鲁鲁修的geass是左眼还是右眼？,Is Lelux's geass left or right?
鲁鲁修的机甲叫什么名字？,鲁鲁修的机甲叫什么名字？,What is the name of Lelouch's mech?
真男人从不回头看什么？,真男人从不回头看什么？,Real men never look back for what?
圣斗士星矢的大招是什么？,圣斗士星矢的大招是什么？,What is the big move of Saint Seiya?
小说《斗破苍穹》中，最高等级是？,小说《斗破苍穹》中，最高等级是？,In the novel “Break the Sky“  what is the highest level?
wow中，穆拉丁是什么职业？,wow中，穆拉丁是什么职业？,In WOW  what is Muradin's occupation?
薛定谔的_?,薛定谔的_?,Schrödinger’s _?
死亡笔记的笔记本是横开的还是竖开的？,死亡笔记的笔记本是横开的还是竖开的？,Is the notebook of the death note opened by horizontal or vertical?
星际争霸的人口上限为多少？,星际争霸的人口上限为多少？,What is the population ceiling for StarCraft?
魔兽争霸的人口上限为多少？,魔兽争霸的人口上限为多少？,What is the population limit for Warcraft?
“ACGN”中的A代表什么？,“ACGN”中的A代表什么？,What does A in “ACGN“ stand for?
“ACGN”中的C代表什么？,“ACGN”中的C代表什么？,What does C in “ACGN“ stand for?
“ACGN”中的G代表什么？,“ACGN”中的G代表什么？,What does G in “ACGN“ stand for?
“ACGN”中的N代表什么？,“ACGN”中的N代表什么？,What does N in “ACGN“ stand for?
手握炉石开圣盾，老子已经_?,手握炉石开圣盾，老子已经_?,Holding the hearth stone to open the holy shield  I have already _?
武功再高，也怕_？,武功再高，也怕_？,No matter how high the artial arts are  they are afraid of _____?
《炉石传说》砰砰博士的费用是几？,《炉石传说》砰砰博士的费用是几？,What is the cost of Dr. Hearthstone?
武藤游戏的神器是什么？,武藤游戏的神器是什么？,What is the artifact of Muto game?
游戏《战神3》的最终BOSS是？,游戏《战神3》的最终BOSS是？,The final BOSS of the game “God of War 3“ is?
游戏《最终幻想7》男主角是？,游戏《最终幻想7》男主角是？,What is the hero of the game Final Fantasy 7?
游戏系列《忍者龙剑传》的男主角的名字是？,游戏系列《忍者龙剑传》的男主角的名字是？,What is the name of the hero of the game series “Ninja Dragon Sword“?
《圣斗士星矢》中黄金圣斗士的禁招是？,《圣斗士星矢》中黄金圣斗士的禁招是？,What is the ban on the Golden Saints in Saint Seiya?
游戏《街头霸王》中春丽的姓氏是？,游戏《街头霸王》中春丽的姓氏是？,What is the Last name of Chunli in the game Street Fighter?
游戏最终幻想目前一共有多少部正传作品？,游戏最终幻想目前一共有多少部正传作品？,How many positive stories are there in the Final Fantasy?
游戏《猎天使魔女》的主角是？,游戏《猎天使魔女》的主角是？,What is the protagonist of the game “Hunting Angel Witch“?
游戏《猎天使魔女》恢复血量的道具是？,游戏《猎天使魔女》恢复血量的道具是？,What is the item that restores the blood in the game “Hunting Angel Witch“?
《生化奇兵：无限》的故事发生在？,《生化奇兵：无限》的故事发生在？,When is the story of BioShock: Unlimited began?
《黑暗之魂》中太阳骑士的名字是？,《黑暗之魂》中太阳骑士的名字是？,What is the name of the Sun Knight in The Soul of the Dark?
《仁王》的主角名字叫做？,《仁王》的主角名字叫做？,The name of the protagonist of “Benelux“ is called?
《鬼泣4》中尼禄的剑被命名为？,《鬼泣4》中尼禄的剑被命名为？,Nero's sword in “Devil May Cry 4“ is named?
《鬼泣》系列游戏中维吉尔和但丁的关系是？,《鬼泣》系列游戏中维吉尔和但丁的关系是？,What is the relationship between Virgil and Dante in the Devil May Cry series?
被誉为“马里奥之父”是？,被誉为“马里奥之父”是？,Who is known as “the father of Mario“?
《尼尔：机械纪元》的女主为？,《尼尔：机械纪元》的女主为？,What is the female protagonist of Neil: The Mechanical Age?
伊利丹的武器是？,伊利丹的武器是？,What is the  Illidan’s weapon?
人类英雄职业树有多少种职业（包含初始职业）?,人类英雄职业树有多少种职业（包含初始职业）?,How many occupations (including initial occupations) does the Human Hero Professional Tree have?
法师英雄职业树有多少种职业（包含初始职业）?,法师英雄职业树有多少种职业（包含初始职业）?,How many occupations (including initial occupations) are there in the Master Heroes?
亡灵英雄职业树有多少种职业（包含初始职业）？,亡灵英雄职业树有多少种职业（包含初始职业）？,How many occupations (including initial occupations) are there in the Undead Heroes?
无尽秘境中初始暴击伤害是多少？,无尽秘境中初始暴击伤害是多少？,What is the initial crit damage in an endless secret?
无尽秘境中属性攻击能暴击么？,无尽秘境中属性攻击能暴击么？,Can an attribute attack be crit in an endless secret?
无尽秘境“幸运值”的作用？,无尽秘境“幸运值”的作用？,What is the role of the “lucky value“ of the endless secret?
无尽秘境“额外金币”的作用？,无尽秘境“额外金币”的作用？,What is the role of the “extra gold coin“ in the endless secret?
无尽秘境装备拥有“可带出关卡”属性有什么用？,无尽秘境装备拥有“可带出关卡”属性有什么用？,What is the use of the “Can bring out the level“ attribute in Endless Secrets?
无尽秘境中使用回城卷轴的效果？,无尽秘境中使用回城卷轴的效果？,The effect of using the returning city scroll in an endless secret?
无尽秘境地下城结束，拥有“可带出关卡”物品，如何处理？,无尽秘境地下城结束，拥有“可带出关卡”物品，如何处理？,Endless Secrets Dungeon End  with “can bring out the level“ items  how to deal with?
在地下城死亡和结束冒险，会随机掉落身上的几件装备？,在地下城死亡和结束冒险，会随机掉落身上的几件装备？,When you die in the dungeon and end your adventure  how many pieces of equipment will be randomly dropped?
仓库中的物品，在英雄死亡或结束冒险时，会损失么？,仓库中的物品，在英雄死亡或结束冒险时，会损失么？,Will the items in the warehouse be lost when the hero dies or ends the adventure?
职业和技能会在本次地下城冒险结束时重置么？,职业和技能会在本次地下城冒险结束时重置么？,Will the occupation and skills be reset at the end of this dungeon adventure?
升阶和符文会在地下城冒险结束时重置么？,升阶和符文会在地下城冒险结束时重置么？,Will the ascending order and runes be reset at the end of the dungeon adventure?
击杀最后守关BOSS后，如何返回城镇？,击杀最后守关BOSS后，如何返回城镇？,After killing the last guard BOSS  how to return to the town?
装备强化是快速提高英雄实力的方式，每件装备最多能强化几次？,装备强化是快速提高英雄实力的方式，每件装备最多能强化几次？,Equipment enhancement is the way to quickly improve the hero's strength. How many times can each piece of equipment be strengthened?
暗黑破坏神,暗黑破坏神,Diablo 
西园寺,西园寺,Xiyuan Temple 
我的世界,我的世界,My World 
巫师,巫师,Wizard 
上古卷轴,上古卷轴,Elder Scrolls 
文明,文明,Civilization 
魔兽世界,魔兽世界,World of Warcraft
黄旭东,黄旭东,Huang Xudong
莫格莱尼,莫格莱尼,Mograine 
真·三国无双,真·三国无双,True Three Kingdoms Warriors 
魂斗罗,魂斗罗,Contra 
路易基,路易基,Luigi 
林克,林克,Link
女,女,Female
推荐给朋友,推荐给朋友,Recommend to a friend
决胜21点,决胜21点,Winning 21 points 
红色,红色,Red
阐释者,阐释者,Interpreter 
逐暗者,逐暗者,Darker 
左眼,左眼,Left eye 
高文,高文,Kovan 
爆炸,爆炸,Explosion
天马流星拳,天马流星拳,Tianma Meteor Fist
斗帝,斗帝,Fighting Emperor 
战士,战士,Warrior 
猫,猫,Cat
横开,横开,Horizontally open
天下无敌,天下无敌,Invincible in the world
羊刀,羊刀,Sheep knife 
